"file","speaker","io_unit","start_time","end_time","pause_duration","io_duration","genre","glottocode","speaker_age","speaker_sex","synthesis","tone","element","sprach_dauer","part"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",137,343.675,349.746,4.052,6.071,"traditional narrative","anal1239",80,"m",NA,"yes","a",2.019,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",138,349.746,350.899,0.521,1.153,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.632,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",139,350.899,352.394,0.355,1.495,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.14,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",140,352.394,354.596,1.339,2.202,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.863,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",141,354.596,355.477,0.39,0.881,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.491,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",142,355.477,357.501,0.692,2.024,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.332,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",143,357.501,359.105,0.504,1.604,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.1,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",144,359.105,360.203,0.515,1.098,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.583,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",145,360.203,362.273,1.22,2.07,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.85,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",146,362.273,365.473,2.249,3.2,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.951,"part17"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",148,379.18,380.717,0.403,1.537,"traditional narrative","anal1239",80,"m",NA,"yes","a",1.134,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",149,380.717,381.761,0.154,1.044,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.89,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",150,381.761,384.352,1.83,2.591,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.761,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",151,384.352,385.463,0.467,1.111,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.644,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",152,385.463,387.264,1.342,1.801,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.459,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",153,387.264,390.891,1.531,3.627,"traditional narrative","anal1239",80,"m",NA,"yes","a",2.096,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",154,390.891,392.083,0.542,1.192,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.65,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",155,392.083,392.752,0.09,0.669,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.579,"part18"
"doreco-anal1239-anm-20151216-10-Ngahring-WB-proverbs1","anal1239-Ngahring",156,392.752,393.422,0.261,0.67,"traditional narrative","anal1239",80,"m",NA,"yes","a",0.409,"part18"
